Global Rank,Channel ID,Channel Name,Subscribers,Total Views,Total Videos,Country,Description,Views_por_Inscrito
319,UCebRa_3r9QtaTNpKvpTQ8Nw,KingOfYouTube,5070000,900048302,4602,BR,"Se inscreva no canal! (E ATIVE O SININHO) 🔔  ⭐ Contato Comercial ✉️ WelixComercial@gmail.com  ⭐ Para Fãs 💌 WelixMensagens@gmail.com  © Não re-utilize NENHUM vídeo, thumbnail ou identidade visual do meu canal sem autorização. ",177.52431992110454
332,UCZ5EhVtjHsdha52CiOcFvvg,Lokis,4900000,4033891008,2695,BR,"Olá, eu sou o Lokis :) Vídeos de Roblox todos os dias às 7 da noite.",823.2430628571428
335,UCukwGwBD-pAbGzoJo6ZXPtQ,Tonigon,4890000,995643856,462,BR,"Construindo alguma coisa no Minecraft nesse exato momento, VAI ASSISTIR MEU ULTIMO VÍDEO!  ",203.60815051124743
354,UCvp2rct896qzl9qaG20mjNg,GamerCosta,4690000,2384340456,2565,BR,"Seja bem-vindo ao canal GamerCosta  mas.... pode me chamar só de COSTA.  Vídeos TODOS OS DIAS, no horário de 18:15!!! Inscreva-se e faça parte da TORCIDA GamerCosta ;D",508.38815692963755
371,UCCeWpi_LTJfi_AbeS2OJ6OQ,TEODORO,4470000,1273958039,2090,BR,Te desafio clicar no ''inscreva-se''    ,285.00179843400446
387,UC_1ft6mNbuf9I-MXW9MC-gg,Yaszoca,4300000,1677229545,1400,BR,"Oie, eu sou a Yaszoca e gravo vídeos de RPG de BROOKHAVEN  ✿ SHORTS TODOS OS DIAS 18:00  ✿ VÍDEOS LONGOS SEG A SEX 18:30   ✿ Nick ROBLOX:  Yaxzoca  Se inscreva! Sejam bem-vindos ao meu mundo de diversão!  Contato:  ✿ yasmimejanatha@gmail.com  ",390.05338255813956
417,UC8OfsT5zGjcRjidyBuqHwSQ,AllissonGOD,4020000,904435765,3360,BR,🤝Contato comercial: allissongodcontato@gmail.com  ,224.9840211442786
429,UCUaUhkLyJCgVOMB8YOKSN8g,Play Guima,3890000,611844864,1719,BR,Passo vergonha jogando uns jogos tentando realizar meu sonho de ser uma GAMER de verdade. CONTATO: comercial@playguima.com.br      ,157.2865974293059
497,UC-yA8YhrAgpFp4aVHRaNyMA,Core,3270000,997934314,5037,BR,"VÍDEO NOVO TODO DIA ÁS 6 DA TARDE!  Contato Empresarial: jogosdasantigas@gmail.com  Canal focado em jogos Indies e de Terror! Poppy Playtime, Five Nights at Freddy's, Undertale, Deltarune, Baldi Basic's, Bendy and the Ink machine, Doki Doki Literature Club, Mascot Horror, Indies, Minecraft e outros...  Esse canal não é recomendado para crianças. Não é um canal infantil, não é um canal destinado pa",305.1786892966361
500,UCsuHTmaYOim2oHxjyEf4nAg,NightExtreme,3250000,1294316364,3796,BR,"Oi eu sou o NightExtreme e aqui no canal você vai encontrar gameplay de jogos de terror como Poppy Playtime, Five Nights At Freddy's, granny, evil nun, ice scream, jogos indie de terror e muito mais, espero que gostem  Vídeos todos os dias as 12h00  Me segue nas redes sociais  Instagram ►  https://www.instagram.com/night_extreme/?hl=pt-br TikTok: https://www.tiktok.com/discover/nightextreme-oficia",398.25118892307694
525,UCf36H4Zhcv6k5R0C7hKZMxg,WELIX,3070000,706394985,1875,BR,"Se inscreva no canal! (E ATIVE O SININHO) 🔔  ⭐ Contato Comercial ✉️ WelixComercial@gmail.com  ⭐ Para Fãs 💌 WelixMensagens@gmail.com  © Não re-utilize NENHUM vídeo, thumbnail ou identidade visual do meu canal sem autorização. ",230.09608631921824
526,UCQim8bI2FOdxc6nM_etcmzA,OMED,3060000,237403614,1055,BR,Os Melhores Vídeos de Roblox ❤️  Conteúdo livre para todos os públicos!🌎 ,77.58288039215687
541,UCK_KzyBbDOxgrONcgPbRQtg,Só Por Causa,3010000,1438246229,1992,BR,❤️SE INSCREVA nosso dia fica melhor Só Por Causa DE VCS!❤️    ✅Canal livre para todos.      ,477.82266744186046
547,UCy26SSgUkshdthmHAtRi7gw,Vick Barbosa,2950000,440309490,1643,BR,"Olá Meninos e Meninas, tudo bem com vocês? Sejam Bem Vindos ao meu canal! Eu sou a Vick,criei esse canal para me divertir com vocês e gravar vários vídeos no Brookhaven com a minha Família😊 Muito obrigada pelo carinho de todos e espero que gostem ❤💝🥰   💕Vídeos Segunda, Quarta e Sexta às 18:00 💕 Shorts Terça e Quinta às 11:30  💗Conta do Roblox: Vickobaby  💗Instagram: @vick.barbosa2  💌: vickbarbosac",149.25745423728813
573,UC9Qu6o04oTf-b2acahQVk1g,Kass & KR,2810000,1118472916,2143,BR,"Olá! somos Kass (Kassiano) e KR (Matheus). Somos uma dupla de amigos que decidiram criar um canal para a sua diversão! 😋 Ter um canal sempre foi nosso sonho e agora estamos trabalhando duro para conquistar nossos objetivos. Você é muito bem vindo aqui! Fazemos vídeos novos todos os dias, então volte sempre! ",398.0330661921708
577,UCaYZLVwOnGzmKXvM0SidHtg,MaxPalaro,2790000,960708780,3880,BR,"For keys and gaming offers, please send them directly to: yuri.pallaro[at]maxpalaro.com.br Emails sent to my channel's address go to my sales team. Thank you.  Para chaves e ofertas de jogos, envie diretamente para: yuri.pallaro[arroba]maxpalaro.com.br Os e-mails enviados para o endereço do meu canal são encaminhados para minha equipe de vendas. Obrigado.  Hello Ladies and Gentlemen! Aqui é o Max,",344.340064516129
578,UCtKndmEnQyqkhOQfpi5CgvQ,Davi,2790000,302093385,615,BR, ,108.27719892473118
617,UCferfyAeOJAjS9GoI4td6gg,Canal PeeWee,2590000,911255192,1355,BR,"As Sagas mais populares do cinema, críticas de filmes, listas, análises de trailer e muito mais. Tudo com muito bom humor e mau humor ao mesmo tempo.",351.83598146718145
626,UC-E1waou_aC3re8NJh4x9YQ,Fogo Queimado,2550000,1381814535,1335,BR,estranho e criativo.,541.8880529411765
650,UC5mC_S9d0yGeUUY-n3lfyHw,JeffBlox,2410000,877354992,3674,BR,,364.0477145228216
657,UCvCRTD0r6niKowGIUACV8NQ,AL3XEY,2390000,678232783,5604,BR,O garoto Creeper Azul 💙 ,283.7794071129707
668,UC0A86RKLCqTEUna3hPlEpzg,Superhero FXL Games,2340000,724513452,449,BR,"Superhero FXL Games - Tips & Gameplays.  Here, you will find tips on how to pass stages, defeat bosses, and complete challenges in superhero games. I help entertain and educate my viewers through my gameplay footage, all of which is recorded and edited by me.  Favorite Games:  Spider-Man Miles Morales Gameplay; GTA 5 Mod 4K Ultra Realistic Graphics (Natural Vision Evolved); Marvel vs Capcom (Aveng",309.6211333333333
760,UCvD2SL774HBW1YOracUjlqw,Dunamis Music,1960000,731460095,1026,BR,"O Dunamis Music é o braço de adoração do Dunamis Movement - movimento cristão, para-eclesiástico, cujo foco é um avivamento sustentável.    Temos como principais objetivos proporcionar encontros sobrenaturais com o amor de Deus e estabelecer uma cultura de adoração verdadeira em todas as nações da Terra, através de um som excelente e inovador, que carrega a paixão pela Presença de Deus, a verdade ",373.1939260204082
765,UCOpNUuMT-sevWM5JVUK1TTg,Loki,1950000,563245393,3921,BR,"Bem-vindo ao canal Loki! 😄 Eu sou o Loki, bom, pelo menos é assim que me chamam na internet. Meu nome de verdade é Julio e eu sou do Rio de Janeiro. Aqui no canal você vai encontrar conteúdos bem legais, então espero que curta e acompanhe tudo! 🚀 E não esquece de me seguir também nas redes sociais: Instagram: @loki.julio TikTok: @loki.julio 📱   ",288.84379128205126
800,UCWmA1pPhzmW4_K7vJED2AlA,Clash com Nery,1830000,363974571,4012,BR,"Oi, NERY aqui!  Quase 10 anos de história nesse canal. Você que já viu um vídeo meu... MUITO OBRIGADO! Você faz parte dessa história. Você é D+!  #TMJ  Contato profissional clashcomnery@gmail.com ",198.8932081967213
812,UCrKhB-kOIG4ARPEs2K2ZqdQ,GQ Games,1800000,727723435,2986,BR,"Sou o maior youtuber da minha casa.... vlw flw kkk  O homem não teria alcançado o possível se, repetidas vezes, não tivesse tentado o impossível. By: Max Weber  Meu PC:  Processador AMD Ryzen 9 7950X3D Water Cooler Asus Rog Strix LC II 360 Placa Mae Asus Rog Strix X670E-E Gaming WIFI Placa de Vídeo Palit GeForce RTX 4090 GamerRock OC 24gb 4 pentes Memória XPG Lancer 6000mhz DDR5 - 64 GB Armazename",404.29079722222224
819,UCRb1QRG7BOKFri_9Pkpaqrg,MelzinhaMel Games,1780000,634783437,1336,BR,"💜 Bem Vindos ao Canal MelzinhaMel Games 💜 🎮 Vídeos Novos Todos os Dias Com Muita Edição e Zoação 🌽 Nos Ajude a Chegar a 2 Milhões de Inscritos 🙏 Se Você Ainda Não é Inscrito, Aproveite e Se Inscreva  😘 Super Beijos 😘  💜 Melzinha 💜 ",356.6199084269663
822,UCOaQsQIByJYHyETtw48l_Vw,Free Fire Esports Brasil #FREEFIRE,1760000,221192437,1469,BR,😎 CANAL OFICIAL! Tudo o que você precisa saber sobre o competitivo de Free Fire.🔥 ,125.67752102272728
840,UCAu_v9w-BXFtg1NAnB-JgVg,Apuh,1710000,358180514,1336,BR,Oi eu sou Apuh!! :),209.46228888888888
847,UCVOvoHO0LmcEJy4G91AbAMw,Dj Danny Albuquerque,1680000,403355593,1051,BR,"DJ Danny Albuquerque é uma Mineira, Dj Open Format, Produtora, Compositora, Dançarina e Cantora.  Que por onde passa deixa a sua marca,   trazendo autenticidade para seus shows lembrada sempre pelo seu estilo único e diferenciado em cima dos palcos.  Com sua energia marcante, composições criativa e produções autorais de sucesso, a artista vem ganhando cada vez mais espaço e reconhecimento na cena ",240.09261488095237
852,UCkhfuyQUD5GNulpQRJOqrGg,Caldeirão Furado,1660000,282601988,1389,BR,"Sua fonte de notícias e novidades sobre o Mundo Bruxo! Aqui você encontra tudo, desde teorias, respostas para suas dúvidas e sempre uma cobertura completa sobre qualquer novidade do universo criado por Jk.Rowling. Deixa de ser trouxa e se inscreva! ",170.24216144578313
867,UCR6m35Pw1Of4UeVOY9FoOiQ,Patriota,1620000,575098569,6013,BR,Um jovem meigo e humilde jogando os games.  Gameplays Gameplays Gameplays...,354.9991166666667
878,UC9rkmxg50hsOt8F-UI3nLRg,Getaway Driver,1590000,484786149,3372,BR,"Gameplays em geral com grande foco em carros Cronograma: 2 videos por dia de segunda a sexta (12h00 e 20h00), 1 video sábado, 1 video domingo! E-mail: mrgetawaydriver@gmail.com ---------------------------------------------------------------------------------------------------- ☣️ Configuração do PC: ➨Placa mãe: Asus ROG STRIX B550-F GAMING (WI-FI) ➨Processador: AMD Ryzen 9 5950x ➨Memória: 4x8gb DD",304.8969490566038
884,UC48rkTlXjRd6pnqqBkdV0Mw,CBLOL,1590000,950117269,15855,BR,"Canal oficial do CBLOL, com o melhor do League of Legends competitivo. Acompanhe as transmissões ao vivo dos principais torneios do Brasil e do mundo. Reveja partidas anteriores, fique por dentro dos bastidores com matérias especiais, e acompanhe também a cobertura completa no site oficial: http://br.lolesports.com",597.5580308176101
887,UCpNmFOSrkfqsmc37_UrCbZA,Mary Games,1580000,257672166,1016,BR,"Oii plantinhas, tudo bem com vocês?! Sejam bem vindos ao meu canal de jogos! Escolha sua playlist favorita e se divirta comigo 🧡  Livre para todos os públicos.  Me Siga Em Outras Redes Socias 🤗👇   Instagram: https://www.instagram.com/marygames__ @marygames__  TikTok: https://www.tiktok.com/@marygames_ @marygames__  Contato para parcerias:✉  👇 Contact for partnerships:✉ Tik Tok, Instagram ou Email ",163.0836493670886
955,UC0AUSYG5r2ppPs7L9CPylPA,Iron Master,1400000,343483344,201,BR,Canal focado em Música Geek Vídeo novo todas as Terças e Sábados as 19:00 ,245.3452457142857
963,UCBaMIu8kioCuIQaSgyL92JA,Roosevan ,1380000,564953358,271,BR,Agora chegou minha vez ! assessoria@roosevan.com.br,409.3864913043478
977,UC2eb58Gxb613nJDjpuwWmgg,ONE Media Brasil,1360000,543790965,2574,BR,"O trailer do filme imperdível, teaser & vídeo estão aqui. Não perca os últimos trailers de filmes ou escolha seu gênero preferido em nossas playlists!",399.8462977941177
1010,UCK3NkZPs0BurxabhtnSDa3g,Souzones,1290000,559044647,2299,BR,"Canal de games do Souzones, principalmente focado em jogos multiplayer de gameplays engraçadas (para render momentos engraçados).",433.3679434108527
1017,UC8SwIcGiOz6FRUmOl-xzodw,Hurtig,1270000,316110369,1257,BR,💎Contato: ContatoHurtig@gmail.com  ,248.90580236220472
1098,UCMpZI6EDOXaQW7g4PqiqPHw,AD0LFzZ,1120000,420662921,2718,BR,Banqueta FC!   Contato comercial: adolfz@vandep.ag ,375.59189375
1106,UCpdagXDNCWHnztIbwRviPXQ,Bronziocre,1100000,364846211,1010,BR,Olá Bronzétes,331.67837363636363
1134,UCQLu78OyzyKEF-IMeaFn2lQ,Kass e KR - Filmes,1060000,299752972,644,BR,"Olá! somos Kass (Kassiano) e KR (Matheus). Somos uma dupla de amigos que decidiram criar um canal para a sua diversão! 😋 Ter um canal sempre foi nosso sonho e agora estamos trabalhando duro para conquistar nossos objetivos. Você é muito bem vindo aqui! Fazemos vídeos novos todos os dias, então volte sempre! ",282.7858226415094
1161,UC8cP4kV1GIbxRH-mlilSniQ,Problems Raiz ,1020000,288457725,440,BR,Discord: https://discord.gg/zF7xYUUnE9 Email Comercial: comercialproblemsraiz@gmail.com  Aqui nesse canal eu jogo roblox (E outras coisas) ,282.80169117647057
1173,UCHZ59kNB52d8dLSrNaOUi1g,Cadres [FILMES],1000000,219862116,723,BR,"🎬 Welcome to Cadres Movies! 🎥🚀 Your ultimate destination for the best films and exclusive content from Cadres! Sit back, relax, and enjoy the show! 🍿🔥  📩 Business Contact: comercial@agenciacurta.com ",219.862116
1205,UCrf4E9km2IZy4GdD4wHA7DQ,Sarinha BloxGames,961000,314952809,1116,BR,"Olá pessoal!! Tudo bem com vocês? Aqui é a Sarinha BloxGames e adoro jogar, principalmente Roblox!! 😍😍  Esse canal nasceu de um desejo do meu coração ❤, que depois de muito pedir meus pais realizaram.   Espero que gostem e curtem o conteúdo do canal!!! 💜💜💜  Beijos!!😘  Email para contato:  sarinhabloxgames@gmail.com",327.73445265348596
1211,UC8B7ZhNtBacu3hQjChv3rsg,Darknildo,954000,140919340,341,BR,📢 Grita “DARKNILDO!” e aparece vídeo novo 👇 Assiste aí antes que saia do ar!!!,147.7141928721174
1220,UC-zUi1ZOiByX3TLMfwRDPWw,Tropia,943000,87211390,246,BR,"Se você quer um canal para ter um mind blow e ainda rir de vez enquanto, você veio ao lugar erra-CERTO   01000001 01100010 01100001 00100000 01010011 01101111 01100010 01110010 01100101 00100000 01100101 01101101 00100000 00110010 00110000 00110001 00111001 00100000 01101100 01110101 01101100    ",92.48291622481442
1248,UC9rd6EcVDnyaLOeWSBI1vSg,Felipe Rodrigues,903000,478639392,198,BR,"Com uma voz e talento marcante, Felipe tem ministrado por todo o Brasil e alcançando vidas através de suas ministrações.  Felipe é cantor, músico, compositor e produtor musical. Começou seu ministério aos 7 anos de idade, acompanhando seu irmão (Pr. Elizeu Rodrigues) em suas ministrações. De 2018 até o 2021 foi vocalista e baixista da banda Casa Worship, onde atuou também como compositor e produto",530.0546976744185
1262,UCoTIpyf8_RGzJ1LPTmvadaA,CENTRAL,877000,376201001,5649,BR,"Opiniões, críticas e debates honestos sobre o mundo dos games. ",428.9635131128848
1288,UCtGTfdYlG-B6SgeRiaf61CA,Artube Clash,851000,238947951,3633,BR,"Sou o Arthur, fiz esse canal para compartilhar minha experiencia com clash royale e muito mais!  Faço game plays diariamente com videos e lives!  Email para parcerias: artubeclash@agenciacurta.com  INSTAGRAM : @ArtubeClash  TWITTER: @ARTUBECLASH  FACEBOOK :  /Artubeclash  mNZ_nz5ZM26GDX",280.78490129259694
1309,UCUMPMjcbg4Bza8Ad6UnwT-A,Uzumaki,831000,269301300,1396,BR,"EAE FII, BÃO?",324.06895306859207
1327,UCWefhgfmiI0m5nbbBlGKopg,A Batcaverna,811000,191750396,2890,BR,"Bem vindos à Batcaverna! Nós somos o primeiro canal no Youtube a falar de BATMAN! Atualmente, falamos também sobre o universo DC, da concorrência (a Marvel hehe) e outros assuntos da cultura POP. Mesmo assim, nosso foco principal continua sendo o universo do Homem-Morcego!   O canal é apresentado pela dupla dinâmica: Gabriel e Marcelo!  Contato comercial: contatobatcaverna1939@gmail.com",236.43698643649816
1469,UCvmGDEVKX4j6qAIFp4xUxjg,Gabriel Henrique,664000,93368992,312,BR,Me SIGA nas redes sociais:   https://heylink.me/gabbrielhenrique/ ,140.61595180722892
1487,UCEcia6mLhtkTyX2D4n3nLHA,Problems TV,651000,147926978,570,BR,💙👇🏻MINHA LOJA👇🏻💙 https://lp.curtaloja.com/problems/  Problems💙 https://www.instagram.com/problems_sr/ Mel 💛https://www.instagram.com/kaikemel/ Kadu ❤ https://www.instagram.com/kadukon/ Stick 💚https://www.instagram.com/guualfaro/ Zoom🧡 https://www.instagram.com/josedu4rdo/ Email para fãs mandarem mensagens: problemsmensagens@gmail.com  Email Comercial: comercial@agenciacurta.com ,227.23038095238095
1516,UCBykxRXc4bMrdhE_CSwWxQg,IGÃO PLAY,631000,277411576,1698,BR,"Curte jogos de corrida? Forza Horizon 5, Need for Speed, Midnight Club entre outros? então não perca tempo e INSCREVA-SE!  Contato Profissional: contatoigaoplay@hotmail.com ",439.6379968304279
1558,UC_-3r_DbpZvl7jfAH-8uLbg,Bayo,598000,110015078,517,BR,・Se inscreva e faça parte do Império Galáctico.💀  Aqui você encontra diversos vídeos de Jogos Variados! ⌚Vídeos todos os dias as 12h15.  📧 comercial: bayo@xpinfluence.com  ・ALERTA: Eu NÃO divulgo nenhum tipo de loja de robux ou coisa do tipo.  ,183.97170234113713
1576,UCoXIbjJeb1NznRssUYw3LBQ,FixzTwo,585000,131395755,321,BR,Videos de minecraft e jogos 👍 ,224.6081282051282
1579,UC04MPfu_LbiCL71rruQOpsA,JOAO_PSX,584000,150094772,1977,BR,"Sejam bem-vindos ao canal Joao PSX. Aqui falamos de tudo relacionado a PlayStation. Dicas, notícias, gameplays, análises, área técnica, promoções, tutoriais e novidades. Nosso intuito é sempre abordar o tema de maneira mais simplificada e com bom humor. Fazendo com que o conteúdo seja amigável para todos os públicos, independente de plataforma ou conhecimento técnico. Junte-se a nossa comunidade. ",257.01159589041094
1609,UCCXR1oSwEjJgD10Q_wFmf2A,KENNEDY CLASH,564000,140894801,1797,BR,Esse canal foi criado com o intuito de compartilhar minha experiência e conhecimento com vocês.  Conquistas: Fui o melhor nível 10 e 11 Do mundo! Alcancei 2x TOP 1 DO MUNDO! Todos desafios da CRL fechados! Recorde: 9000 Troféus!    1.000 Inscritos ▬▬▬▬▬ 09/03/2019 5.000 Inscritos ▬▬▬▬▬ 01/04/2020 10.000 Inscritos ▬▬▬▬▬ 10/04/2020 15.000 Inscritos ▬▬▬▬▬ 07/05/2020 20.000 Inscritos ▬▬▬▬▬ 31/05/2020 ,249.8134769503546
1620,UCBiRuk3NRX_SxCsp3l3cLAw,Xou,553000,198514393,2279,BR,Faço uns vídeos bem loucos ai  Contato Profissional: canaldoxouempresa@gmail.com ,358.97720253164556
1630,UCJM9Q5wZixhBNL0g_DdPJjQ,Teteuxin,547000,226718573,436,BR,eai galera do gta sanders,414.47636745886655
1671,UCR7ZwQz60rW9dK59Dirdc8w,HBO Max Brasil,524000,140792849,1939,BR,"O fogo nasce da escuridão. #ACasaDoDragão retorna em junho. 🔥 -- HBO Max, já disponível! https://www.hbomax.com/  Me segue nas redes!  Twitter: https://twitter.com/StreamMaxBR Instagram: https://www.instagram.com/hbomaxbrasil/  Facebook: https://www.facebook.com/hbomaxbrasil TikTok: https://www.tiktok.com/@hbomaxbr ",268.688643129771
1673,UCIszNTC2gsTlj-sZNyhtqPQ,PAULINHU,523000,110691899,4789,BR,VÍDEOS NOVOS TODOS OS DIAS! 😁,211.64799043977055
1701,UCYgXQak3nuUnna6ArQz2Kyg,Yuri Dinamite,509000,189652448,1206,BR,Jogador veterano de Minecraft Pixelmon capturando monstrinhos desde 2013! Vídeos todo dia 10h45.  Contato comercial: yuridinamite.contato@gmail.com   ,372.5981296660118
1741,UC46L3Cku3SplGDbIAliRssA,Mylon,485000,191905389,682,BR,,395.6812144329897
1810,UCqQ8R-6fdARMJl_YHnOdQNg,pepers,433000,44328225,175,BR,Transformo minhas gameplays em filmes imersivos.,102.37465357967668
1853,UCMn_W4pe7msJS77koaT96gg,Quatro Coisas,408000,98852806,7015,BR,"O Qu4tro Coisas é um canal de entretenimento que diversas vezes por semana traz temas ligados à cultura pop e a indústria da diversão, sempre com muito bom humor, inovação e autenticidade. Honesto, sincero e transparente.  Se inscreva agora!",242.28628921568628
1945,UC7Cg9yHN4nLdOnZWeYkt0oA,LethíciaX ,361000,45479745,1414,BR,"Bem vindo(a), live de seg à sabado das 10h às 16:30🥰  Email para parcerias: lethiciax@kr3w.gg",125.9826731301939
1981,UCU6bO4X3CUGm3gSy9cCdNuw,Pabllym GO!,344000,57609391,283,BR,"Olá! Sejam muito bem-vindos ao Pabllym GO!, o canal onde a diversão nunca acaba no mundo do Roblox! Preparem-se para muitas gameplays emocionantes de seus jogos favoritos, desafios criativos e muita interação com vocês! Estou sempre pronto para novas aventuras e adoro compartilhar cada momento com vocês. Então, se você busca alegria e muita zoeira no Roblox, você está no lugar certo! Inscreva-se n",167.46915988372092
2007,UChFSlUTSJNQK3v79abpQP4w,FUNK DE BIGODE,335000,167133247,2065,BR,Seja bem-vindo ao canal FUNK DE BIGODE que traz os maiores hits do funk diariamente! Aqui você encontra as músicas mais bombadas do momento.  Se inscreva para não perder nenhuma novidade e fique por dentro dos lançamentos mais quentes do cenário funk!  Copyright © 2024 FUNK DE BIGODE e Love Funk Todos os direitos reservados ,498.9052149253731
2062,UCDke4Xl6nLQbz7YuDdP5cYw,Cellbit VODS,314000,51023428,555,BR,VODs das lives do Cellbit  copyright[@]cellbits.com.br  contato[@]cellbits.com.br ,162.49499363057325
2093,UCW25ko4WmwfDKht1Vy8ujaQ,VISÃO DE CRIA,303000,232515990,306,BR,"O VISÃO DE CRIA é um canal parceiro da Love Funk Produtora, que tem autorização para lançar músicas dos artistas que fazem parte da empresa.  Copyright © 2026 VISÃO DE CRIA e Love Funk Todos os direitos reservados ",767.3795049504951
2131,UCGFINSi52loNR5TcALKdAeQ,Genix,289000,90217998,2225,BR,"Escreva-se e compartilha o canal! JESUS TE AMA videos 10hrs e as 16hrs     CANAL JOGOS MOBILES, GTA , REBAIXADOS ELITE BRASIL E MAIS ",312.1730034602076
